Pitcher,PitcherThrows,PitcherTeam,TaggedPitchType,n,dre_hat_mean,run_suppress_mean,StuffPlus_mean,StuffPlus_median,RV,RelSpeed_mean,SpinRate_mean,spinDir_mean,RelHeight_mean,RelSide_mean,Extension_mean,InducedVertBreak_mean,HorzBreak_mean,delta_velo_mean,delta_IVB_mean,delta_HB_mean,RV/100,SwStr%
"Elliott, Hunter",Left,OLE_REB,Curveball,21,-0.01003424667174907,0.01003424667174907,88.84249811057883,87.51555957234255,2.024,76.26878190476191,2553.7279314285715,295.4414728095238,5.637654451183742,-1.9304368461481454,5.658019521790109,-5.282269523809524,14.780060952380953,-14.031218095238092,-23.786924523809525,-25.611385952380953,9.63809523809524,19.047619047619047
"Elliott, Hunter",Left,OLE_REB,Fastball,326,-0.020954575623127428,0.020954575623127428,108.78276713928258,103.27274804614731,24.759999999999998,90.28155065151115,2332.9543597258084,148.05046,5.770917879007713,-1.3038303336870491,6.499314483500682,18.57339676784975,-10.799086050472354,,,,7.595092024539876,9.815950920245399
"Elliott, Hunter",Right,OLE_REB,Fastball,1,-0.025026295907106273,0.025026295907106273,120.2339183232174,120.2339183232174,-0.118,87.34566,2297.828637,161.203126,5.96924,-1.96462,6.30272,22.8406,-7.3604,,,,-11.799999999999999,100.0
"Elliott, Hunter",Left,OLE_REB,Slider,118,-0.013422434240202516,0.013422434240202516,104.43178830856826,109.76873256606217,8.719,82.4085640677966,2323.709748101695,223.61550666101695,5.768012895759994,-1.3901660426789837,6.092499020598486,6.526144915254237,3.9576588983050844,-7.891435932203387,-11.978510084745762,-14.788983898305084,7.388983050847457,18.64406779661017
"Elliott, Hunter",Right,OLE_REB,Slider,1,-0.012297044181394488,0.012297044181394488,99.25378919894435,99.25378919894435,1.455,79.87088,2375.220558,209.736696,5.84765,-2.09437,5.82833,5.6641,2.50236,-10.429119999999998,-12.840554999999998,-8.328965,145.5,0.0
"Elliott, Hunter",Left,OLE_REB,Splitter,8,-0.006009650861986828,0.006009650861986828,92.73282802127304,96.35251443861651,0.9009999999999999,81.92033375,1637.186209,107.46952275,5.701116449767059,-1.637091848058213,6.383716073821378,5.976547500000001,-15.6174375,-8.37966625,-12.528107499999999,4.7861125,11.2625,25.0
"Farrow, Evan",Right,OLE_REB,All,255,-0.015217045044810482,0.015217045044810482,102.72505344821616,97.2121776730406,30.084999999999997,86.21802529411765,2510.842445282353,169.52699918039215,5.855928,1.5147297647058824,6.310889317598644,7.0913859215686275,3.497008666666667,-9.096462033898298,-13.816568813559321,-18.557753389830506,11.798039215686273,9.803921568627452
"Farrow, Evan",Right,OLE_REB,ChangeUp,4,-0.006714436006184489,0.006714436006184489,95.69064131739859,93.91135007684099,0.9569999999999999,82.752725,2187.293266,253.12301574999998,5.8439175,1.5286575,6.8051675,4.161695,9.7619125,-7.714754999999997,-10.055595,-2.4813175000000003,23.924999999999997,0.0
"Farrow, Evan",Right,OLE_REB,Cutter,77,-0.018268601154653123,0.018268601154653123,126.72934440631103,126.4625662889537,10.625,82.99982285714286,2638.7448625974025,111.4742152077922,5.8266975324675325,1.5976623376623376,5.957039220779221,1.9816345454545454,-3.692231688311688,-7.467657142857137,-12.235655454545455,-15.935461688311687,13.7987012987013,12.987012987012985
"Farrow, Evan",Right,OLE_REB,Fastball,82,-0.013023734028859339,0.013023734028859339,86.47837003490766,86.54069908737083,9.991,90.52915731707317,2433.88346497561,213.97734531707317,5.935868292682927,1.4158268292682927,6.628306172839506,15.908347682926829,10.120621463414633,,,,12.184146341463414,6.097560975609756
